dataset,fold,case,label_1_hd95,label_1_esd_mm,label_1_density_hu,label_2_hd95,label_2_esd_mm,label_2_density_hu,label_3_hd95,label_3_esd_mm,label_3_density_hu,label_4_hd95,label_4_esd_mm,label_4_density_hu
KidneyAbnormalities,fold_3,multi_064.nii.gz,1.1656213346121995,95.76323571475308,109.23356958977068,1.5,38.12341099781566,7.872067156839789,0.0,0.0,,1.295892182186297,42.74517196497971,61.670581590444705
KidneyAbnormalities,fold_3,multi_066.nii.gz,1.2153397801643786,95.95753703869443,113.47820256789697,3.0,11.34407405181063,31.547826086956523,0.0,0.0,,2.717582364207201,32.00008529450936,84.53279958677686
KidneyAbnormalities,fold_3,multi_071.nii.gz,0.685546875,87.99326933948123,136.25990640982064,,0.0,,0.0,0.0,,4.9979129250075,6.843022504610941,86.67226890756302
KidneyAbnormalities,fold_3,multi_073.nii.gz,2.7310304561943295,81.39429038183424,140.67984291232838,56.33859706635656,7.696175937953048,73.5379746835443,0.0,0.0,,4.621319282224785,52.46700091889838,62.37796644027167
KidneyAbnormalities,fold_3,multi_075.nii.gz,33.73963815968752,86.58050063884343,150.8102047888677,29.468572009348062,12.41013400643579,60.37525252525253,0.0,0.0,,3.945962198980275,70.68086403704129,100.93111498696001
KidneyAbnormalities,fold_3,multi_086.nii.gz,0.9740592917816913,87.72486815117871,137.7551354460934,160.06729987259376,7.304277793088537,49.78767123287671,0.0,0.0,,1.9481185835633825,27.47649174137609,85.77896802419096
KidneyAbnormalities,fold_3,multi_087.nii.gz,0.9030135670062026,79.68320547273149,106.7706018140546,49.83245443699003,12.92404821733192,19.33016508254127,0.0,0.0,,175.54352109425128,10.75192136465643,33.06081668114683
KidneyAbnormalities,fold_3,multi_099.nii.gz,2.5,89.93193814730894,109.05400949596114,30.649695895503307,11.298372578543619,34.65139116202946,0.0,0.0,,33.653528781430474,14.242819197130128,69.14297385620915
KidneyAbnormalities,fold_3,multi_103.nii.gz,311.859382789343,96.97467339770036,114.63768054210551,3.458917652694987,18.106742412154645,49.45785219399538,0.0,0.0,,406.4630866033068,62.21460798457085,85.3881429750733
KidneyAbnormalities,fold_3,multi_104.nii.gz,1.66796875,90.26792353687537,98.69291020044753,178.39686995741212,35.569546094388464,33.64212763445304,0.0,0.0,,160.94380412644188,23.60312519761849,31.96040004040812
